,player_id,season,team_x,tournament,apps,mins,goals,assists,yels,reds,shoots_per_game,pass_success,overall_ratings,tackles,intercepts,fouls,offsides_won,clear,drb,blocks,key_pass,drb_won,fouls_given,offsides_given,dispossessed,turnover,total_pass,crosses,long_pass,Name,team_y,Current Team,Shirt Number,Height,birth_date,Nationality,Positions,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10
1,276205,2021/2022,Leeds,EPL,17(3),1575,0,,3,0,0.7,77.4,6.35,1.1,,1.1,0.1,2.2,1.3,6.35,0.3,0.3,0.5,0,0.3,0.8,34.9,0,1.6,Robin Koch,,Leeds,5,192cm,17-07-1996,Germany,"Defender (Centre), Defensive Midfielder (C)",6.64,6.07,6.43,6.65,5.47,6.44,6.35,6.41,6.5,6.53
2,276205,2020/2021,Leeds,EPL,13(4),1131,0,,1,0,0.5,86.2,6.59,1.6,,1,0.1,1.8,0.5,6.59,0.2,0.2,0.5,0,0,0.3,45.2,0,2.5,Robin Koch,,Leeds,5,192cm,17-07-1996,Germany,"Defender (Centre), Defensive Midfielder (C)",6.64,6.07,6.43,6.65,5.47,6.44,6.35,6.41,6.5,6.53
0,414473,2022/2023,Leeds,EPL,1,70,0,,0,0,0,77.4,6.51,5,,1,0,1,1,6.51,0,1,0,0,1,1,31,0,1,Cody Drameh,,Luton,2,,08-12-2001,England,"Defender (Right), Midfielder (Right)",7.84,7.45,7.31,7.82,6.73,6.59,6.95,6.7,7.3,7.01
1,414473,2021/2022,Leeds,EPL,1(2),126,0,,1,0,0,74.5,6.03,1.3,,0.7,0.3,1,0.7,6.03,0.3,0.7,0,0,0,1.7,18.3,0.3,0.7,Cody Drameh,,Luton,2,,08-12-2001,England,"Defender (Right), Midfielder (Right)",7.84,7.45,7.31,7.82,6.73,6.59,6.95,6.7,7.3,7.01
0,439636,2022/2023,Leeds,EPL,14(9),1351,2,,7,0,1,77,6.50,1.2,,1.2,0,0.1,0.9,6.50,1,0.9,1.7,0.1,0.8,1.3,19.7,0.3,0.1,Wilfried Gnonto,,Leeds,29,172cm,05-11-2003,Italy,Attacking Midfielder (Left),7.18,6.11,6.25,5.83,5.83,6.24,7.44,5.6,6.19,6.38
0,323148,2022/2023,Leeds,EPL,29(3),2330,1,,7,0,1.1,79.4,6.50,2.1,,1.3,0.1,0.7,1.4,6.50,1,0.5,0.9,0,0.8,0.8,37.8,0.4,2.1,Marc Roca,,Leeds,8,184cm,26-11-1996,Spain,Defensive Midfielder (C),6.32,6.43,7.54,6.04,6.18,6.39,6.34,6.33,6.04,6.03
0,123232,2022/2023,Leeds,EPL,7(1),648,0,,1,0,0.8,83.4,6.46,1.6,,0.8,1,3,0.5,6.46,0,0.3,0.3,0,0.1,0.8,53.4,0,2.9,Diego Llorente,,Roma,14,186cm,16-08-1993,Spain,"Defender (Centre), Defensive Midfielder (C)",6.03,6.29,6.2,7.39,6.68,6.65,6.75,6.49,6.6,6.59
1,123232,2021/2022,Leeds,EPL,28,2344,3,,7,0,0.4,81.4,6.59,1.9,,0.8,0.3,2.7,0.5,6.59,0.1,0.3,0.8,0,0.1,0.7,48.5,0,3.1,Diego Llorente,,Roma,14,186cm,16-08-1993,Spain,"Defender (Centre), Defensive Midfielder (C)",6.03,6.29,6.2,7.39,6.68,6.65,6.75,6.49,6.6,6.59
2,123232,2020/2021,Leeds,EPL,14(1),1206,1,,1,0,0.5,83.3,6.90,2.3,,1,0.3,2.5,0.9,6.90,0.3,0.4,0.6,0,0.5,0.7,47.9,0,2.7,Diego Llorente,,Roma,14,186cm,16-08-1993,Spain,"Defender (Centre), Defensive Midfielder (C)",6.03,6.29,6.2,7.39,6.68,6.65,6.75,6.49,6.6,6.59
0,382564,2022/2023,Leeds,EPL,12(16),1418,4,,4,0,1,77.9,6.46,1.1,,0.8,0,0.3,0.4,6.46,0.6,0.9,1.5,0.3,1.3,1.6,14,0.1,0.3,Crysencio Summerville,,Leeds,10,174cm,30-10-2001,Netherlands,"Attacking Midfielder (Left, Right)",6.66,7.13,6.28,5.95,6.39,6.15,6.73,6.24,6.14,5.92
